82	145	140
82	82	52
100	73	72
100	69	82
100	91	91
82	86	86
82	100	84
97	82	90
82	82	55
100	82	85
60	88	88
82	63	55
69	84	84
82	82	78
38	49	31
49	84	67
84	38	49
84	49	51
85	51	51
145	49	90
38	49	32
49	84	66
49	91	61
38	91	54
36	85	61
145	49	90
85	38	80
49	38	28
80	84	80
49	49	42
38	145	116
85	145	91
63	73	73
64	38	64
49	73	73
91	85	74
69	43	41
58	69	49
70	95	67
58	58	54
73	69	55
145	95	62
75	43	32
60	58	62
42	69	50
75	69	47
69	53	53
48	69	48
42	75	42
95	91	84
42	73	62
43	69	43
69	145	109
145	43	91
88	145	115
69	63	47
80	80	80
72	72	72
91	57	70
64	64	57
42	57	40
52	57	55
69	42	54
70	57	48
52	75	75
57	57	61
57	70	52
57	70	53
70	57	57
64	57	42
70	57	48
42	36	38
70	91	72
70	70	66
52	57	36
42	70	34
88	52	50
36	66	66
70	57	44
70	57	44
66	88	58
56	69	54
66	52	57
56	88	66
56	88	61
69	44	70
91	56	65
69	56	51
64	69	71
69	70	59
44	66	31
64	66	59
44	52	63
69	91	61
69	70	59
91	66	81
66	63	75
44	60	46
66	66	67
52	102	102
44	53	40
56	91	66
115	51	58
65	145	63
92	51	45
92	52	62
88	63	63
65	65	64
92	60	64
115	91	82
92	88	77
92	69	65
65	115	73
92	52	61
65	88	63
65	65	63
115	51	50
88	77	77
65	92	61
51	52	46
70	70	70
51	69	69
65	65	63
67	65	67
31	54	31
64	101	96
75	31	47
70	63	57
75	88	65
31	64	33
99	75	62
31	64	36
64	31	38
64	101	92
31	31	25
99	40	37
64	69	53
57	57	57
31	58	58
75	64	69
40	82	82
99	64	55
31	60	60
31	64	34
31	31	31
58	31	58
67	71	51
71	68	68
67	69	53
95	48	44
62	145	98
71	120	63
120	66	66
60	48	60
120	118	92
120	59	59
63	59	59
91	48	87
62	63	44
63	95	66
120	120	95
71	36	37
71	120	64
120	67	48
73	62	73
62	63	49
62	69	48
82	62	82
78	50	69
78	50	72
48	48	48
61	78	93
42	36	42
42	78	79
75	78	68
75	75	65
48	48	47
42	50	50
48	48	44
120	89	89
99	120	66
67	48	57
78	42	70
78	42	77
42	36	42
63	36	55
92	42	92
70	69	54
67	83	83
91	78	109
91	86	65
91	60	77
91	36	92
65	51	34
86	45	56
70	45	39
110	45	110
91	91	85
45	86	47
81	91	81
60	60	48
45	86	46
86	60	61
86	65	49
91	91	84
86	45	49
36	91	54
45	45	37
65	117	117
69	120	66
65	86	46
91	65	63
64	122	105
91	60	82
60	122	94
122	122	122
120	60	52
122	122	101
68	122	119
73	60	70
101	68	101
60	60	68
122	122	121
68	99	70
122	64	120
122	91	168
62	60	57
122	60	108
169	60	169
73	68	73
64	169	169
68	64	84
62	91	86
122	84	122
69	108	76
108	120	86
55	54	50
54	54	50
52	52	45
108	67	94
65	52	52
65	58	58
68	52	45
120	67	64
65	65	62
101	67	101
60	67	65
86	52	86
108	67	92
65	67	79
65	55	63
108	108	108
63	70	63
65	67	79
65	70	56
108	65	72
119	102	67
119	82	63
